,type,latitude,longitude
45135,Rodent Activity,42.3482,-71.0936
45139,Rodent Activity,42.3505,-71.0769
45216,Rodent Activity,42.3108,-71.108
45347,Rodent Activity,42.3594,-71.0587
45352,Rodent Activity,42.3574,-71.1351
45354,Rodent Activity,42.3594,-71.0587
45355,Rodent Activity,42.3478,-71.0617
45451,Rodent Activity,42.3112,-71.0669
45493,Rodent Activity,42.3047,-71.1132
45637,Rodent Activity,42.2854,-71.1177
45687,Rodent Activity,42.349,-71.1542
45706,Rodent Activity,42.3183,-71.0992
45734,Pest Infestation - Residential,42.3101,-71.0677
45868,Rodent Activity,42.3151,-71.0612
45901,Rodent Activity,42.3047,-71.1132
45910,Rodent Activity,42.2511,-71.1312
46007,Pest Infestation - Residential,42.2854,-71.1177
46078,Rodent Activity,42.3285,-71.0925
46094,Pest Infestation - Residential,42.3725,-71.0579
46105,Rodent Activity,42.2992,-71.0698
46220,Rodent Activity,42.2788,-71.0925
46248,Rodent Activity,42.2859,-71.1434
46371,Rodent Activity,42.3793,-71.0385
46405,Bed Bugs,42.3532,-71.1661
46433,Rodent Activity,42.3112,-71.0669
46436,Rodent Activity,42.3225,-71.1034
46445,Rodent Activity,42.3034,-71.0609
46475,Rodent Activity,42.3092,-71.0647
46505,Pest Infestation - Residential,42.3072,-71.0663
46589,Rodent Activity,42.3071,-71.0664
46669,Rodent Activity,42.2859,-71.1434
46712,Rodent Activity,42.284,-71.0952
46767,Pest Infestation - Residential,42.3821,-71.0411
47035,Rodent Activity,42.3323,-71.0784
47108,Rodent Activity,42.3596,-71.1286
47112,Rodent Activity,42.3165,-71.0722
47218,Rodent Activity,42.317,-71.0902
47219,Rodent Activity,42.3169,-71.0902
47221,Rodent Activity,42.3168,-71.0903
47290,Rodent Activity,42.3498,-71.15
47337,Rodent Activity,42.3234,-71.1086
47372,Rodent Activity,42.3394,-71.0746
47610,Rodent Activity,42.318,-71.0777
47653,Rodent Activity,42.3119,-71.0763
47763,Pest Infestation - Residential,42.3156,-71.0992
47781,Rodent Activity,42.3,-71.0668
47889,Rodent Activity,42.3037,-71.0635
48060,Rodent Activity,42.3489,-71.0701
48078,Bed Bugs,42.2451,-71.1345
48250,Rodent Activity,42.3694,-71.0376
48330,Pest Infestation - Residential,42.3227,-71.1038
48374,Rodent Activity,42.3114,-71.0556
48440,Rodent Activity,42.3499,-71.1398
49018,Rodent Activity,42.3178,-71.0671
49234,Pest Infestation - Residential,42.3222,-71.0803
49238,Pest Infestation - Residential,42.3221,-71.0804
49279,Pest Infestation - Residential,42.3523,-71.1396
49343,Rodent Activity,42.3673,-71.0567
49404,Pest Infestation - Residential,42.3125,-71.0607
49447,Pest Infestation - Residential,42.3523,-71.1396
49753,Rodent Activity,42.3594,-71.0587
51190,Pest Infestation - Residential,42.322,-71.0803
51282,Rodent Activity,42.3225,-71.1034
51739,Rodent Activity,42.3594,-71.0587
51828,Pest Infestation - Residential,42.3486,-71.0937
52614,Bed Bugs,42.3013,-71.0643
52616,Pest Infestation - Residential,42.3113,-71.079
53081,Rodent Activity,42.3018,-71.0702
53146,Rodent Activity,42.29,-71.0663
53246,Bed Bugs,42.3519,-71.1413
53336,Rodent Activity,42.3312,-71.034
53916,Pest Infestation - Residential,42.3433,-71.0689
54514,Rodent Activity,42.3712,-71.058
54606,Pest Infestation - Residential,42.3324,-71.1118
55418,Bed Bugs,42.3428,-71.0867
55477,Pest Infestation - Residential,42.3091,-71.1053
55754,Rodent Activity,42.3429,-71.1012
55873,Pest Infestation - Residential,42.3096,-71.1053
55915,Rodent Activity,42.3594,-71.0587
56024,Rodent Activity,42.3518,-71.1243
56038,Rodent Activity,42.297,-71.0568
56113,Bed Bugs,42.3461,-71.0803
56114,Rodent Activity,42.3662,-71.0539
56146,Rodent Activity,42.3274,-71.0789
56214,Rodent Activity,42.2581,-71.1286
56215,Bed Bugs,42.2565,-71.1455
56473,Bed Bugs,42.331,-71.0977
56551,Pest Infestation - Residential,42.3035,-71.1065
56635,Pest Infestation - Residential,42.3041,-71.0789
56765,Pest Infestation - Residential,42.3095,-71.1051
56797,Pest Infestation - Residential,42.3243,-71.1082
57042,Rodent Activity,42.3423,-71.1013
57277,Pest Infestation - Residential,42.3267,-71.1009
57316,Pest Infestation - Residential,42.3603,-71.0583
57517,Rodent Activity,42.3183,-71.0992
57534,Pest Infestation - Residential,42.3313,-71.0363
57654,Rodent Activity,42.3594,-71.0587
57714,Rodent Activity,42.3602,-71.0496
57750,Rodent Activity,42.3015,-71.0649
57838,Rodent Activity,42.319,-71.072
57990,Bed Bugs,42.3117,-71.08
58127,Rodent Activity,42.3266,-71.0798
58284,Rodent Activity,42.354,-71.0582
58296,Pest Infestation - Residential,42.3629,-71.0524
58389,Rodent Activity,42.3594,-71.0587
58522,Pest Infestation - Residential,42.2887,-71.047
58531,Pest Infestation - Residential,42.346,-71.0822
58553,Rodent Activity,42.3478,-71.0617
58554,Rodent Activity,42.3594,-71.0587
58602,Rodent Activity,42.3594,-71.0587
58650,Rodent Activity,42.3594,-71.0587
58999,Rodent Activity,42.2872,-71.0416
59134,Pest Infestation - Residential,42.3627,-71.1326
59151,Rodent Activity,42.3488,-71.0617
59276,Rodent Activity,42.342,-71.1462
59307,Rodent Activity,42.3228,-71.1031
59349,Rodent Activity,42.3427,-71.0745
59379,Rodent Activity,42.3185,-71.099
59534,Rodent Activity,42.3333,-71.0832
59652,Rodent Activity,42.3261,-71.0764
59686,Rodent Activity,42.3821,-71.039
59775,Pest Infestation - Residential,42.3725,-71.0579
59830,Pest Infestation - Residential,42.3234,-71.1086
59908,Bed Bugs,42.3465,-71.1358
60043,Rodent Activity,42.3594,-71.0587
60090,Pest Infestation - Residential,42.3871,-71.0067
60114,Pest Infestation - Residential,42.368,-71.0345
60190,Rodent Activity,42.3594,-71.0587
60414,Pest Infestation - Residential,42.3422,-71.0968
60426,Rodent Activity,42.3359,-71.0289
60620,Pest Infestation - Residential,42.3066,-71.0861
60628,Bed Bugs,42.3519,-71.1413
60660,Rodent Activity,42.3174,-71.0987
60663,Rodent Activity,42.3594,-71.0587
60797,Pest Infestation - Residential,42.3196,-71.0613
60857,Bed Bugs,42.3144,-71.0589
60916,Rodent Activity,42.3678,-71.0548
60917,Rodent Activity,42.2954,-71.0594
60952,Rodent Activity,42.2986,-71.0696
61001,Rodent Activity,42.3485,-71.0942
61317,Rodent Activity,42.2992,-71.07
61333,Bed Bugs,42.3604,-71.0652
61451,Pest Infestation - Residential,42.3594,-71.0587
61481,Rodent Activity,42.3821,-71.039
61494,Rodent Activity,42.3822,-71.0391
61496,Rodent Activity,42.3823,-71.0391
61516,Rodent Activity,42.3594,-71.1435
61595,Pest Infestation - Residential,42.3399,-71.0564
61636,Rodent Activity,42.3139,-71.0751
61639,Rodent Activity,42.3492,-71.1385
61651,Rodent Activity,42.3004,-71.0691
61654,Rodent Activity,42.2996,-71.072
61655,Rodent Activity,42.2991,-71.0713
61658,Rodent Activity,42.3494,-71.0898
61659,Rodent Activity,42.3497,-71.0898
61662,Rodent Activity,42.3497,-71.0897
61670,Bed Bugs,42.3319,-71.0498
61781,Bed Bugs,42.3059,-71.069
61861,Bed Bugs,42.3136,-71.0916
61864,Rodent Activity,42.2877,-71.0718
61905,Rodent Activity,42.3787,-71.0665
61923,Pest Infestation - Residential,42.3594,-71.0587
61933,Rodent Activity,42.3521,-71.1377
61945,Rodent Activity,42.3063,-71.1074
61994,Rodent Activity,42.3499,-71.0906
62291,Pest Infestation - Residential,42.3787,-71.057
62485,Rodent Activity,42.3423,-71.097
62509,Rodent Activity,42.3594,-71.0587
62761,Rodent Activity,42.3229,-71.0793
62785,Rodent Activity,42.3045,-71.0702
62835,Rodent Activity,42.3478,-71.0617
62848,Pest Infestation - Residential,42.3376,-71.0521
62919,Rodent Activity,42.31,-71.1061
62926,Rodent Activity,42.3099,-71.1059
63015,Rodent Activity,42.2877,-71.072
63145,Rodent Activity,42.3234,-71.0577
